Source,Type,Fit,HR Interview,Communicated Rejection,In-Person Interview,Offer
LinkedIn,Industry,4,TRUE,,TRUE,TRUE
LinkedIn,Industry,5,TRUE,,TRUE,FALSE
LinkedIn,Industry,3,TRUE,,FALSE,
LinkedIn,Non-Profit,4,TRUE,,TRUE,FALSE
LinkedIn,Non-Profit,3,TRUE,,FALSE,
LinkedIn,Non-Profit,2,TRUE,,,
LinkedIn,Industry,3,,TRUE,,
LinkedIn,Industry,2,,TRUE,,
LinkedIn,Non-Profit,3,,TRUE,,
LinkedIn,Non-Profit,4,,TRUE,,
LinkedIn,Non-Profit,2,,TRUE,,
LinkedIn,Non-Profit,3,,TRUE,,
LinkedIn,Industry,5,,TRUE,,
LinkedIn,Non-Profit,2,,TRUE,,
LinkedIn,Non-Profit,3,,TRUE,,
LinkedIn,Industry,3,,,,
LinkedIn,Non-Profit,2,,,,
LinkedIn,Non-Profit,3,,,,
LinkedIn,Industry,2,,,,
LinkedIn,Non-Profit,4,,,,
LinkedIn,Non-Profit,3,,,,
LinkedIn,Industry,4,,,,
Referral,Industry,5,TRUE,,TRUE,TRUE
Referral,Industry,4,TRUE,,TRUE,FALSE
Referral,Non-Profit,4,TRUE,,FALSE,
Referral,Industry,3,TRUE,,,
Referral,Non-Profit,3,,TRUE,,
Referral,Industry,2,,,,
Referral,Non-Profit,3,,,,
Referral,Non-Profit,5,,,,
